,Incident,Location,Reported-edited,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,Hour,Week_Day,Month,Year,Weeks Since Start,Years since start,Months since start,week-composite,month-composite,Day of month,Date
8490,Found Property,850 E. 61st St.,42682.46667,42681.6875,First Transit supervisor turned over cell phone found on a shuttle bus / Inventoried at UCPD for safekeeping,Closed,16-00994,11,3,11,2016,331,6,76,3-331,11-76,8,11/8/2016
8491,Assist Other Agency / Motor Vehicle Recovery,1429 E. 60th St.,42682.50972,42682.50972,UCPD officers detained a suspect wanted for the theft of a motor vehicle outside of the UCPD patrol area / Suspect and vehicle turned over to CPD / CPD case HZ507344,CPD,16-00995,12,3,11,2016,331,6,76,3-331,11-76,8,11/8/2016
8493,Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),42683.11458,42683.11458,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,16-00996,2,4,11,2016,331,6,76,4-331,11-76,9,11/9/2016
8494,Found Narcotics,5700 S. Maryland (CCD),42683.41667,42683.375,Staff member found small plastic bag containing marijuana in patient's room / Substance turned over to UCPD for proper disposal,Closed,16-00997,10,4,11,2016,331,6,76,4-331,11-76,9,11/9/2016
8496,Theft,1101 E. 57th St. (Zoology),42683.57153,11/9/16 9:30 AM to 11:00 AM,A Cubs World Series stocking cap taken from desk in secured office,Open,16-00999,13,4,11,2016,331,6,76,4-331,11-76,9,11/9/2016
8497,Information,5700 S. Maryland (CCD),42683.67292,42681.79167,Staff member and patient involved in minor altercation / Previously reported to CPD,CPD,16-01000,16,4,11,2016,331,6,76,4-331,11-76,9,11/9/2016
8499,Aggravated Assault,5700 S. Maryland (CCD),42684.14167,42684.12847,Distressed patient attempted to stab a UCM Public Safety Officer with scissors before he was disarmed / Victim reported no injuries and declined to prosecute,Ex. Cleared,16-01001,3,5,11,2016,332,6,76,5-332,11-76,10,11/10/2016
8500,Mental Health Transport,5555 S. Woodlawn,42684.45972,42684.45972,Individual transported to ER for evaluation and treatment,Closed,16-01002,11,5,11,2016,332,6,76,5-332,11-76,10,11/10/2016
8501,Criminal Trespass to Land,6055 S. Kimbark (South Campus Athletic Field),42684.52778,42684.52778,Unauthorized individual ignored previous warnings about trespassing on University property / Arrested for trespass and also for a theft that occurred on 10/13/16 ref. report 16-00896,Arrest,16-01003,12,5,11,2016,332,6,76,5-332,11-76,10,11/10/2016
8502,Traffic Crash,5827 S. University,42684.57708,42684.57292,Bus struck an unoccupied car parked at the curb / Property damage only / No injuries reported / 2016 MVA00184,Closed,16-01004,13,5,11,2016,332,6,76,5-332,11-76,10,11/10/2016
8504,Lost Property,5100 S. East End to 1111 E. 60th St. (CTA Bus),42684.7,11/10/2016 12:30 PM to 12:45 PM,Individual reports losing wallet while riding a CTA # 172 bus,Closed,16-01006,16,5,11,2016,332,6,76,5-332,11-76,10,11/10/2016
8505,Injured Person,5530 S. Ellis (Ratner A.C.),42684.90972,42684.90972,Individual injured left knee while playing basketball in the gym / Transported to ER by CFD EMS,Closed,16-01007,21,5,11,2016,332,6,76,5-332,11-76,10,11/10/2016
8507,Theft,821 E. 55th St. (Stagg Field),42685.36389,11/10/16 8:25 PM to 9:25 PM,"Insulin pump taken from unattended, unsecured bag left on the sidelines of the field",Open,16-01008,8,6,11,2016,332,6,76,6-332,11-76,11,11/11/2016
8508,Lost Property,Dorchester between 49th & 50th,42685.41319,42685.04167,Individual reports losing a backpack somewhere on the sidewalk off-campus after leaving a party,Closed,16-01009,9,6,11,2016,332,6,76,6-332,11-76,11,11/11/2016
8509,Information / Theft,1525 E. 55th St. (Deco Arts Bldg.),42685.45903,11/9/16 1:00 PM to 3:30 PM,"Unattended, unsecured laptop taken from conference room in leased space in off-campus building / Reported to CPD",CPD,16-01010,11,6,11,2016,332,6,76,6-332,11-76,11,11/11/2016
8510,Information,5501 S. Cottage Grove,42685.85417,42683.04167,UCPD staff member reports being bitten by a spider while on duty / Injury later required medical attention,Closed,16-01011,20,6,11,2016,332,6,76,6-332,11-76,11,11/11/2016
8512,Lost Property,60th & Drexel to 61st & Kimbark,42686.57708,11/11/16 to 11/12/16 10:00 PM to 12:15 PM,Individual reports losing wallet somewhere between 60th & Drexel to 61st and Kimbark,Closed,16-01012,13,7,11,2016,332,6,76,7-332,11-76,12,11/12/2016
8513,DUI,5223 S. Lake Park,42686.91736,42686.91736,UCPD officer arrested a motorist for driving under the influence of alcohol,Arrest,16-01013,22,7,11,2016,332,6,76,7-332,11-76,12,11/12/2016
8515,Information,48th & Woodlawn or 48th & Ellis,42687.89861,42687.875,Individual walked into Mitchell ER with gunshot graze wound to left hand / Gave conflicting information as to occurrence / Possibly self-inflicted / CPD investigation HZ514300,CPD,16-01014,21,1,11,2016,332,6,76,1-332,11-76,13,11/13/2016
8517,Medical Call,5630 S. University (Max Palevsky RH),42688.16875,42688.16875,Sick person transported to ER by CFD EMS for evaluation and treatment,Closed,16-01015,4,2,11,2016,332,6,76,2-332,11-76,14,11/14/2016
8518,Criminal Sexual Assault,UC Campus / Max Palevsky Residence Hall,42688.42847,11/12/16 Unknown time,"DSS notified by a UC Campus Security Authority that an undisclosed victim was sexually assaulted by an undisclosed subject / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report 16-008,10,2,11,2016,332,6,76,2-332,11-76,14,11/14/2016
8519,Lost Property,5706 S. University (Hutchinson Commons),42688.53333,11/14/16 11:00 AM to 12:30 PM,"Individual reports losing wallet while in the dining area,",Closed,16-01016,12,2,11,2016,332,6,76,2-332,11-76,14,11/14/2016
8520,Found Narcotics,850 E. 61st St.,42688.57708,42688.57708,A small amount of cannabis was found in a book bag left on a First Transit Shuttle bus / Illegal substance turned over to UCPD for proper disposal,Closed,16-01017,13,2,11,2016,332,6,76,2-332,11-76,14,11/14/2016
8522,Information / Traffic Crash,79th & Stony Island (Out of Area),42688.67847,42688.54722,UC owned vehicle involved in traffic crash / Property damage only / No injuries reported / CPD case HZ515058,CPD,16-01019,16,2,11,2016,332,6,76,2-332,11-76,14,11/14/2016
8524,Information / Burglary,Ellis between 54th & 55th,42689.56042,11/11/16 to 11/15/16 4:30 PM to 10:00 AM,Unknown person(s) gained entry to off-campus private apartment via an unsecured rear window and took property / CPD case,CPD,16-01020,13,3,11,2016,332,6,76,3-332,11-76,15,11/15/2016
8525,Battery,5700 S. Maryland (CCD),42689.73403,42689.73264,Individual struck UCM staff member in the face with his fist / Subject arrested by UCPD,Arrest,16-01021,17,3,11,2016,332,6,76,3-332,11-76,15,11/15/2016
8526,Information / Suspicious Persons,Woodlawn between 54th & 55th,42689.96806,42689.96528,UCPD officers responded to a call of three individuals tampering with a window outside an off-campus private apartment / UCPD detained suspects / Suspects turned over to CPD for follow up investigation / CPD case,CPD,16-01022,23,3,11,2016,332,6,76,3-332,11-76,15,11/15/2016
8528,Information / Traffic Crash,1555 E. 60th St.,42690.35208,42690.34722,Vehicle sideswiped stationary UC shuttle bus / Minor paint damage only / No injuries reported,Closed,16-01023,8,4,11,2016,332,6,76,4-332,11-76,16,11/16/2016
8529,Medical Call / Sick Person,5828 S. University (Pick Hall),42690.49306,42690.48611,Sick person transported to ER by CFD EMS for evaluation and treatment,Closed,16-01024,11,4,11,2016,332,6,76,4-332,11-76,16,11/16/2016
8530,Theft,1020 E. 58th St. (Kent Lab Bike Rack),42690.58125,11/16/16 11:30 AM to 12:30 PM,Unsecured bicycle taken from bike rack,Open,16-01025,13,4,11,2016,332,6,76,4-332,11-76,16,11/16/2016
8531,Criminal Sexual Assault,Max Palevsky Residence Hall,42690.62917,10/25/16 Unknown time,"DSS was notified by a Campus Security Authority that an undisclosed victim was sexually assaulted by an undisclosed acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report 16-009,15,4,11,2016,332,6,76,4-332,11-76,16,11/16/2016
8532,Information / Robbery,5400 S. Drexel (Public Way),42690.79444,42690.79167,"Individual walking on the sidewalk off-campus was approached by two unknown suspects who demanded his property / When victim attempted to reason with the suspects, they struck him with their fists, took his cellphone and wallet before fleeing westbound on 54th St. in a white van / Victim declined medical attention / CPD case HZ518098",CPD,16-01026,19,4,11,2016,332,6,76,4-332,11-76,16,11/16/2016
8533,Information / Burglary,Woodlawn between 54th & 55th,42690.87847,11/16/16 8:30 AM to 8:30 PM,Unknown person(s) forced entry to off-campus private apartment by forcing the rear door and took property / CPD case HZ518217,CPD,16-01027,21,4,11,2016,332,6,76,4-332,11-76,16,11/16/2016
8535,Information / Theft from Motor Vehicle,5100 S. Cottage Grove,42691.34306,11/16/16 6:30 AM to 3:25 PM,Unknown person(s) took spare tire from the rear of a GMC parked on the street off-campus / CPD case,CPD,16-01028,8,5,11,2016,333,6,76,5-333,11-76,17,11/17/2016
8536,Information,5800 S. Stony Island,42691.425,42691.37847,"Information was received that a contract school bus driver, waiting to transport students, smelled like he had consumed alcoholic beverages / Driver was relieved by contractor and replaced by another driver",Closed,16-01029,10,5,11,2016,333,6,76,5-333,11-76,17,11/17/2016
8537,Injured Person,5500 S. University (Campus North RH),42691.52639,42690.60069,"Contract employee tripped over curb in loading dock, fell causing pain to right hip and right knee / Declined medical attention, will consult private physician",Closed,16-01030,12,5,11,2016,333,6,76,5-333,11-76,17,11/17/2016
8538,Found Property,5700 S. Maryland (CCD),42691.94167,42691.94167,Staff found a syringe and two capsules in a plastic bag in hospital room / Turned over to UCPD for proper disposal,Closed,16-01031,22,5,11,2016,333,6,76,5-333,11-76,17,11/17/2016
8540,Mental Health Transport,5555 S. Woodlawn,42692.59375,42692.59375,Individual transported to ER for mental evaluation,Closed,16-01032,14,6,11,2016,333,6,76,6-333,11-76,18,11/18/2016
8541,Theft,5848 S. University (Beecher Hall),42692.62431,42692.62153,Known suspect took victim's cell phone from a desk top and fled the room / Victim pursued the suspect into the Quad and recovered the cell phone while suspect fled northbound on University,Open,16-01033,14,6,11,2016,333,6,76,6-333,11-76,18,11/18/2016
8542,Information / Aggravated Robbery,961 E. 54th Pl.,42692.76667,42692.76389,"Three unknown suspects, one implying a weapon, took an iPhone from a victim walking on the sidewalk off-campus / Suspects fled in a white SUV northbound on Ingleside / Victim reported no injuries / CPD case HZ520913",CPD,16-01034,18,6,11,2016,333,6,76,6-333,11-76,18,11/18/2016
8544,Information / Attempt Burglary,Ellis between 54th & 55th,42693.17986,42693.17708,Resident of off-campus private apartment observed an unknown suspect cutting screen covering kitchen window and attempting to raise the window / Suspect fled when confronted by resident / CPD case HZ521341,CPD,16-01035,4,7,11,2016,333,6,76,7-333,11-76,19,11/19/2016
8545,Information / Armed Robbery,4700 S. Ingleside,42693.36181,42693.35417,"Known suspect, armed with a handgun, took an iPhone and keys from a victim on the sidewalk off-campus / CPD case HZ321449",CPD,16-01036,8,7,11,2016,333,6,76,7-333,11-76,19,11/19/2016
8546,Information / Attempt Burglary,Ellis between 54th & 55th,42693.41528,11/18/16 to 11/19/16 11:00 PM to 6:30 AM,Unknown person(s) cut two window screens at the rear of off-campus private apartment in an attempt to gain entry / CPD case,CPD,16-01037,9,7,11,2016,333,6,76,7-333,11-76,19,11/19/2016
8547,Theft,1101 E. 58th St. (Rosenwald Bike Rack),42693.60903,11/16/16 to 11/18/16 8:00 PM to 8:00 PM,Secured bicycle taken from bike rack,Open,16-01038,14,7,11,2016,333,6,76,7-333,11-76,19,11/19/2016
8548,Information / Armed Robbery,6411 S. Greenwood,42693.61181,42693.60417,"Three unknown suspects, one armed with a handgun, took iPhone from victim sitting in a car parked off-campus / UCPD officer detained one suspect after a brief foot chase / Suspect turned over to CPD and placed under arrest / CPD case HZ521867",CPD / Arrest,16-01039,14,7,11,2016,333,6,76,7-333,11-76,19,11/19/2016
8549,Possession of Cannabis,5700 S. Stony Island (Stony Island RH),42693.93819,42693.93056,Four individuals were found in possession of six brownies containing cannabis / Brownies confiscated by UCPD for proper disposal,Referred,16-10140,22,7,11,2016,333,6,76,7-333,11-76,19,11/19/2016
8551,Liquor Law Violation,1101 E. 56th St. (Max Palevsky RH),42694.11111,42694.11111,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,16-01041,2,1,11,2016,333,6,76,1-333,11-76,20,11/20/2016
8552,Found Narcotics Paraphernalia,5700 S. Stony Island (Stony Island RH),42694.56875,42694.56597,Staff found paraphernalia commonly used to produce marijuana cigarettes / Turned over to UCPD for proper disposal,Closed,16-01042,13,1,11,2016,333,6,76,1-333,11-76,20,11/20/2016
8553,Theft,5550 S. University (Smart Museum),42694.60972,11/20/16 1:45 PM to 2:00 PM,Purse left unattended on ledge in lobby taken by unknown person / Follow up investigation reveals the purse was found by an unknown individual and returned to owner with all the contents in tact / No crime occurred,Unfounded,16-01043,14,1,11,2016,333,6,76,1-333,11-76,20,11/20/2016
8555,Information / Attempt Robbery,55th at Everett,42695.87917,42695.875,Victim walking on the sidewalk off-campus was approached by an unknown suspect who attempted to forcibly take the victim's cellphone / Victim ran to a nearby UC emergency phone and suspect ran southbound on Everett without taking property / CPD case,CPD,16-01044,21,2,11,2016,333,6,76,2-333,11-76,21,11/21/2016
8556,Theft,5735 S. University (Calvert House),42695.90417,11/21/16 6:30 PM 7:45 PM,"Unknown person took unattended, unsecured bag containing a laptop computer and text books and a gym bag containing clothing from foyer of the building",Open,16-01045,21,2,11,2016,333,6,76,2-333,11-76,21,11/21/2016
8558,Information / Death Investigation,5454 S. Shore Dr. (CDIS),42696.37292,42696.35069,Individual found deceased / CPD case HZ524921,CPD,16-01046,8,3,11,2016,333,6,76,3-333,11-76,22,11/22/2016
8559,Theft,1105 E. 55th St. (Public Way),42696.46042,42696.45486,Unknown suspect took unsecured bicycle left on the sidewalk in front of the store,Open,16-01047,11,3,11,2016,333,6,76,3-333,11-76,22,11/22/2016
8560,Criminal Trespass to Land,5758 S. Maryland (DCAM),42696.94306,42696.94306,"Unauthorized individual, was arrested by UCPD after ignoring multiple warnings, both oral and written, not to trespass on University owned property",Arrest,16-01048,22,3,11,2016,333,6,76,3-333,11-76,22,11/22/2016
8562,Theft,1116 E. 59th St. (Harper Library Bike Rack),42697.40417,10/29/16 to 10/31/16 1:30 PM to 3:00 PM,Secured bicycle taken from bike Rack,Open,16-010149,9,4,11,2016,333,6,76,4-333,11-76,23,11/23/2016
8563,Lost Property,57th & Stony Island to 5811 S. Ellis,42697.44931,11/22/16 4:20 PM to 6:00 PM,"Individual reports losing wallet, possibly on UC Shuttle bus",Closed,16-01050,10,4,11,2016,333,6,76,4-333,11-76,23,11/23/2016
8564,Theft,5700 S. Maryland (CCD),42697.58542,11/16/16 to 11/20/16 11:00 AM to 2:00 PM,Patient reports cash and Ventra card taken from his wallet,Open,16-01051,14,4,11,2016,333,6,76,4-333,11-76,23,11/23/2016
8565,Theft,5530 S. Ellis (Ratner AC),42697.59653,11/23/16 2:10 PM to 2:15 PM,Wallet taken from unsecured locker in men's locker room,Open,16-01052,14,4,11,2016,333,6,76,4-333,11-76,23,11/23/2016
8567,Found Property,1220 E. 61st St.,42698.375,42698.375,UCPD officer found a back pack on the public way / Owner notified back pack is being held for safekeeping at UCPD HQ,Closed,16-01053,9,5,11,2016,334,6,76,5-334,11-76,24,11/24/2016
8569,Motor Vehicle Theft,815 E. 56th St.,42699.50278,11/25/16 10:40 AM to 11:15 AM,Unknown person(s) took vehicle parked on the street / Unoccupied vehicle recovered at 5531 S. Cottage Grove on 12/1/16,Open,16-01054,12,6,11,2016,334,6,76,6-334,11-76,25,11/25/2016
8570,Found Narcotics,1036 E. Hyde Park,42699.69028,42699.69028,"During a traffic safety mission, UCPD officers recovered marijuana from a motor vehicle / Illegal substance confiscated and inventoried for proper disposal at UCPD HQ",Closed,16-01055,16,6,11,2016,334,6,76,6-334,11-76,25,11/25/2016
8572,Medical Call,5500 S. University (Campus North RH),42700.50625,42700.50625,Sick person transported to the ER by CFD EMS for evaluation and treatment,Closed,16-01056,12,7,11,2016,334,6,76,7-334,11-76,26,11/26/2016
8574,Deceptive Practice,Woodlawn between 54th & 55th,42701.69931,42701.42708,Individual left iPhone in LYFT ride share vehicle on 11/26/16 / Driver contacted owner and offered to sell the phone back to him for $200 / Suspect arrested by UCPD,Arrest,16-01057,16,1,11,2016,334,6,76,1-334,11-76,27,11/27/2016
8576,Information / Traffic Crash,1600 E. Midway Pl.,42702.44167,42702.34028,A pedestrian informed UCPD that while crossing the street she was struck by a motorist / Pedestrian declined medical treatment / MVA 2016-00192,Closed,16-01058,10,2,11,2016,334,6,76,2-334,11-76,28,11/28/2016
8577,Information / Burglary,54th between Cottage and Drexel,42702.47986,11/27/16 2:15 AM to 2:30 AM,Unknown person(s) gained entry to off-campus private apartment via an unsecured rear window and took 2 laptop computers / CPD case,CPD,16-01059,11,2,11,2016,334,6,76,2-334,11-76,28,11/28/2016
8578,Theft,5758 S. Maryland (DCAM),42702.57847,11/28/16 7:55 AM to 12:15 PM,Unattended wallet taken from unsecured cabinet in work area,Open,16-01060,13,2,11,2016,334,6,76,2-334,11-76,28,11/28/2016
8579,Damage to Property,1414 E. 59th St. (I-House),42702.62708,11/23/16 to 11/27/16 3:00 PM to 12:00 PM,Rear wheel of bicycle secured to bike rack was damaged / Cause unknown at this time,Closed,16-01061,15,2,11,2016,334,6,76,2-334,11-76,28,11/28/2016
8580,Criminal Trespass to Land,1116 E. 59th St. (Harper Library),42702.63889,42702.63889,Unauthorized individual who had been warned on several previous occasions not to trespass on University property was found in Harper Library and arrested by UCPD officers,Arrest,16-01062,15,2,11,2016,334,6,76,2-334,11-76,28,11/28/2016
8582,Mental Health Transport,5555 S. Woodlawn (Student Counseling),42703.65556,42703.66528,Individual transported to ER for evaluation and treatment,Closed,16-01063,15,3,11,2016,334,6,76,3-334,11-76,29,11/29/2016
8583,Medical Call,1414 E. 59th St. (I-House),42703.95625,42703.95625,Ill person transported to ER by CFD EMS,Closed,16-01064,22,3,11,2016,334,6,76,3-334,11-76,29,11/29/2016
8585,Information,1126 E. 59th St. (Social Science Research Bike Rack),42704.01597,42704.01597,UCPD officer observed individual tampering with a bicycle secured in bike rack / Individual was given trespass warning and notified if he returned to UC property he would be arrested,Closed,16-01065,0,4,11,2016,334,6,76,4-334,11-76,30,11/30/2016
8586,Theft,5700 S. Drexel (Starbucks Café),42704.29583,42703.27431,Suspect was observed taking a coffee mug without paying / Suspect detained by UCM Public Safety officer and arrested by UCPD,Arrest,16-01066,7,4,11,2016,334,6,76,4-334,11-76,30,11/30/2016
8588,Theft,1126 E. 59th St. (Social Science Research),42704.55972,11/30/16 1:15 PM to 1:25 PM,MacBook computer taken from unsecured office,Open,16-01068,13,4,11,2016,334,6,76,4-334,11-76,30,11/30/2016
8589,Theft,1126 E. 59th St. (Social Science Research),42704.57083,11/30/16 1:25 PM to 1:30 PM,Wallet and iPhone taken from unsecured office,Open,16-01069,13,4,11,2016,334,6,76,4-334,11-76,30,11/30/2016
8590,Theft,1130 E. 59th St. (Foster Hall),42704.57847,11/30/16 1:00 PM to 1:30 PM,Laptop computer taken from book bag in unsecured office,Open,16-01070,13,4,11,2016,334,6,76,4-334,11-76,30,11/30/2016
8587,Theft,5807 S. Woodlawn (Booth School),42704.58403,11/30/16 1:30 PM to 1:35 PM,"Unattended, unsecured book bag taken from hallway",Open,16-01067,14,4,11,2016,334,6,76,4-334,11-76,30,11/30/2016
8591,Theft,1116 E. 59th St. (Harper),42704.58958,42704.53125,"Unattended, unsecured purse was taken from under desk in office",Open,16-01071,14,4,11,2016,334,6,76,4-334,11-76,30,11/30/2016
8593,Lost Property,61st & Ellis,42705.45208,11/29/16 to 12/1/16 11:55 PM to 10:50 AM,Individual reports losing wallet in the area of 61st St. and Ellis,Closed,16-01072,10,5,12,2016,335,6,77,5-335,12-77,1,12/1/2016
8594,Theft,1130 E. 59th St. (Foster Hall),42705.5875,11/30/16 2:00 PM to 2:05 PM,Unattended Galaxy cell phone taken from desk top in unsecured office,Open,16-01073,14,5,12,2016,335,6,77,5-335,12-77,1,12/1/2016
8596,Theft,5550 S. University (Crown Field House Bike Rack),42705.84514,11/28/16 to 12/1/16 7:30 PM to 8:15 PM,Bicycle secured to bike rack taken by unknown person,Open,16-01075,20,5,12,2016,335,6,77,5-335,12-77,1,12/1/2016
8595,Information / Aggravated Robbery,5401 S. Cornell,42705.84792,42705.84028,"3 unknown suspects, one implying a weapon, took wallet and iPhone from victim walking on the sidewalk off-campus / CPD case HZ536452",CPD,16-01074,20,5,12,2016,335,6,77,5-335,12-77,1,12/1/2016
8598,Sexual Assault / Fondling,Max Palevsky RH,42706.00625,42705.95833,"DSS notified by Campus Security Authority that undisclosed victim was fondled by an undisclosed acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report 16-010,0,6,12,2016,335,6,77,6-335,12-77,2,12/2/2016
8599,Lost Property,1100 E. 57th St. (Regenstein Library),42706.03056,12/1/16 6:30 PM to 9:00 PM,Individual reports losing 1Phone while in the library,Closed,16-01076,0,6,12,2016,335,6,77,6-335,12-77,2,12/2/2016
8600,Assist Other Agency,850 E. 61st St.,42706.46875,42706.4375,UCPD Investigations assisted another law enforcement agency conducting an investigation,Closed,16-01077,11,6,12,2016,335,6,77,6-335,12-77,2,12/2/2016
8602,Information / Homicide,5481 S. Cornell (Cornell Park),42706.62153,42706.62153,An individual not affiliated with the University was sitting in Cornell Park located off-campus at 5481 South Cornell Avenue when an unknown individual wearing a ski mask exited a green vehicle approached and fired a weapon striking the victim in the head. The suspect reentered the vehicle and fled northbound on Cornell Avenue. The victim was pronounced dead at the scene of the crime. Chicago police are investigating what appears to have been a targeted attack on the victim. CPD case HZ537248,CPD,16-01080,14,6,12,2016,335,6,77,6-335,12-77,2,12/2/2016
8601,Mental Health Transport,5555 S. Woodlawn (Student Counseling Services),42706.62569,42706.61458,Individual transported to ER for evaluation and treatment,Closed,16-01078,15,6,12,2016,335,6,77,6-335,12-77,2,12/2/2016
8603,Traffic Crash,970 E. 58th St. (Parking Lot),42706.65278,42706.65278,A UC owned vehicle struck another UC owned vehicle while backing into a parking space / Minor property damage / No injury reported / 2016 MVA-00194,Closed,16-01079,15,6,12,2016,335,6,77,6-335,12-77,2,12/2/2016
8605,Information / Well-Being Check,62nd between Ellis & Greenwood,42707.48889,42707.48889,"UCPD officers, upon request, checked on the well-being of an individual / Individual contacted, safe and secure",Closed,16-01081,11,7,12,2016,335,6,77,7-335,12-77,3,12/3/2016
8608,Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),42708.05208,42708.05208,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,16-01083,1,1,12,2016,335,6,77,1-335,12-77,4,12/4/2016
8609,Theft,6100 S. Ellis (Public Way),42708.45972,11/16/16 to 11/23/16 8:00 AM to 8:00 AM,Bicycle secured to street sign taken by unknown person,Open,16-01084,11,1,12,2016,335,6,77,1-335,12-77,4,12/4/2016
8610,Information / Deceptive Practice,850 E. 61st St.,42708.99514,11/23/16 to 12/4/16 8:00 AM to 11:50 AM,Investigation into possible fraud / suspicious activity situation,Open,16-01085,23,1,12,2016,335,6,77,1-335,12-77,4,12/4/2016
8613,Criminal Damage to Property / Vandalism,1020 E. 58th St.,42709.35,42709.34375,Neo-Nazi fliers posted at several locations around campus / UC personnel removed the fliers,Open,16-01087,8,2,12,2016,335,6,77,2-335,12-77,5,12/5/2016
8612,Lost Property,55th & Ellis to 53rd & Woodlawn,42709.56458,12/3/16 6:00 PM to 6:15 PM,Individual reports losing wallet while riding UC shuttle bus,Closed,16-01086,13,2,12,2016,335,6,77,2-335,12-77,5,12/5/2016
8621,Theft,5823 S. Kenwood (Sunny Gym),42710.65139,12/5/16 3:30 PM to 5:30 PM,Unattended and unsecured iPhone left on top of locker in locker room taken by unknown person,Open,16-01088,15,3,12,2016,335,6,77,3-335,12-77,6,12/6/2016
8615,Damage to Property,1427 E. 60th St.,42710.69097,42710.69097,Juvenile threw an object accidentally breaking the window of a parked car / Parents arranged to reimburse owner for damage,Closed,16-01089,16,3,12,2016,335,6,77,3-335,12-77,6,12/6/2016
8617,Fire,1101 E. 58th St. (Rosenwald Hall),42710.81736,42710.81736,Exposed wires in electrical box in construction area under the rear (south) exterior steps of Rosenwald Hall shorted and set fire to a plastic tarp / CFD responded and extinguished flames / Minor smoke damage / No injuries reported,Closed,16-01091,19,3,12,2016,335,6,77,3-335,12-77,6,12/6/2016
8618,Traffic Crash / Hit & Run,53rd & Harper,42710.81944,42710.81597,Motorist struck UC owned vehicle and fled eastbound on 53rd St. / Property damage only / No injuries reported,Open,16-01092,19,3,12,2016,335,6,77,3-335,12-77,6,12/6/2016
8619,Information,5807 S. Woodlawn (Booth School),42710.88819,42710.54167,Nine anti-racist posters were found on bulletin boards and elevators in the building / Removed by UC employees,Closed,16-01093,21,3,12,2016,335,6,77,3-335,12-77,6,12/6/2016
8622,Medical Call,1100 E. 57th St.,42711.00278,42711.00278,Individual suffering from a seizure transported to ER by CFD EMS,Closed,16-01094,0,4,12,2016,335,6,77,4-335,12-77,7,12/7/2016
8623,Theft,1362 E. 59th St. (Lab School),42711.62708,11/21/16 2:30 PM to 2:40 PM,Unattended and unsecured iPhone left in student lounge taken by unknown person,Open,16-01095,15,4,12,2016,335,6,77,4-335,12-77,7,12/7/2016
8624,Information / Burglary,Greenwood between 53rd & 54th,42711.76042,12/7/16 10:15 AM to 1:00 PM,Unknown persons gained unlawful entry into off-campus private apartment and took property / No signs of forced entry / CPD case,CPD,16-01096,18,4,12,2016,335,6,77,4-335,12-77,7,12/7/2016
8627,Information / Burglary,54th between Kimbark & Kenwood,42712.57153,12/8/16 11:30 AM to 1:00 PM,Unknown person(s) gained unlawful entry to off-campus private apartment via unknown manner and took two computers and a TV / CPD case,CPD,16-01098,13,5,12,2016,336,6,77,5-336,12-77,8,12/8/2016
8628,Mental Health Transport,1020 E. 58th St. (Main Quad),42712.90625,42712.90625,Individual was transported to hospital by CFD EMS for evaluation and treatment,Closed,16-01099,21,5,12,2016,336,6,77,5-336,12-77,8,12/8/2016
8629,Information / Armed Robbery,54th Pl. at Harper,42712.97778,42712.97222,"Two unknown suspects, one armed with a handgun, took property from two individuals walking on the sidewalk off-campus before fleeing in a waiting black vehicle northbound on Harper / No physical injuries reported / CPD case HZ545140",CPD,16-01100,23,5,12,2016,336,6,77,5-336,12-77,8,12/8/2016
8631,Mental Health Transport,5555 S. Woodlawn,42713.42847,42713.42847,Individual transported to hospital for evaluation and treatment,Closed,16-01101,10,6,12,2016,336,6,77,6-336,12-77,9,12/9/2016
8633,Assist Other Agency,Ridgewood between 54th & 55th,42713.54861,42713.54861,"Responding to a call of a suspicious person, UCPD officers detained an individual who had attempted to gain entry to an off-campus apartment / Suspect turned over to CPD and was charged with attempted burglary / CPD case HZ544867",CPD,16-01103,13,6,12,2016,336,6,77,6-336,12-77,9,12/9/2016
8632,Disturbance,1346 E. 53rd St.,42713.57014,42713.57014,Disturbance on the street off-campus / Peace restored,Closed,16-01102,13,6,12,2016,336,6,77,6-336,12-77,9,12/9/2016
8634,Theft,5807 S. Woodlawn (Booth School),42713.58264,12/9/16 11:42 AM to 1:45 PM,Two coffee tables taken from the building / Follow up investigation revealed the tables were taken by mistake and were returned / No crime occurred,Unfounded,16-01104,13,6,12,2016,336,6,77,6-336,12-77,9,12/9/2016
8636,Information / Robbery,942 E. 55th St.,42713.89514,42713.88542,Three unknown suspects took property from a victim walking on the sidewalk / Suspects fled in a white van / Victim reported no injuries / CPD case,CPD,16-01106,21,6,12,2016,336,6,77,6-336,12-77,9,12/9/2016
