,Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
1871,3/31/2018 9:11 PM,5400 Woodlawn,African American,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1872,3/31/2018 9:55 PM,5400 Ellis,African American,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1873,4/1/2018 9:47 AM,5400 S Cornell,Caucasian,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1874,4/1/2018 12:13 PM,850 E 61st,Asian,Female,Lane Violation,Failure to use turn signal,,Verbal Warning,No
1875,4/1/2018 1:21 PM,5507 S Hyde Park,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1876,4/1/2018 4:00 PM,1012 E 55th,Asian,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1877,4/1/2018 9:02 PM,5400 Hyde Park,African American,Male,Equipment,Driving without headlights,,Verbal Warning,No
1878,4/1/2018 9:19 PM,5300 Drexel,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1879,4/1/2018 9:20 PM,5100 Hyde Park Blvd,Hispanic,Male,Equipment,Driving without headlights,,Verbal Warning,No
1880,4/1/2018 9:45 PM,6100 Cottage Grove,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1881,4/1/2018 9:49 PM,5700 Stony Island,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1882,4/2/2018 3:06 PM,5700 S Stony Island,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1883,4/2/2018 7:54 PM,5700 S Harper,African American,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1884,4/2/2018 8:28 PM,5500 S Lake Park,African American,Female,Lane Violation,Improper U-Turn,,Verbal Warning,No
1885,4/3/2018 8:57 AM,1200 E Midway Plaisance,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citation issued,No
1886,4/3/2018 9:50 AM,6300 S Evans,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1887,4/3/2018 11:33 AM,5500 S University,African American,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
1888,4/4/2018 10:12 AM,1200 E 53rd,Caucasian,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1889,4/4/2018 5:13 PM,5300 S Lake Park,African American,Male,License plate/registration,Unlawful display of license plate,,Verbal Warning,No
1890,4/4/2018 7:57 PM,5300 Greenwood,Caucasian,Female,Equipment,Driving without headlights,,Verbal Warning,No
1891,4/4/2018 8:27 PM,5300 Ellis,Caucasian,Male,Equipment,Driving without headlights,,Verbal Warning,No
1892,4/4/2018 10:51 PM,5300 Lake Park,Caucasian,Female,Equipment,Driving without headlights,,Verbal Warning,No
1893,4/4/2018 11:25 PM,1000 Midway Plaisance,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1894,4/5/2018 12:39 PM,5300 S Cornell,Hispanic,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1895,4/5/2018 1:09 PM,1607 E 53rd,Hispanic,Male,Moving Violation - Other,Using cell phone while driving,,Verbal Warning,No
1896,4/5/2018 1:44 PM,5300 S Cornell,Caucasian,Male,Speed,Using cell phone while driving,,Verbal Warning,No
1897,4/5/2018 7:42 PM,5300 Berkeley,African American,Male,Equipment,Driving without headlights,,Verbal Warning,No
1898,4/5/2018 11:03 PM,1200 Hyde Park,Caucasian,Male,Equipment,Driving without headlights,,Verbal Warning,No
1899,4/5/2018 11:59 PM,6200 Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1900,4/6/2018 1:15 AM,5300 Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1901,4/6/2018 1:50 AM,5900 Ellis,African American,Female,Lane Violation,Improper lane usage,,Verbal Warning,No
1902,4/6/2018 2:05 AM,1380 E 53rd,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1903,4/6/2018 9:38 AM,1215 E 53rd,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1904,4/6/2018 3:20 PM,5800 S Stony Island,African American,Male,Moving Violation - Other,Failure to yield,,Verbal Warning,No
1905,4/6/2018 5:07 PM,5900 S Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1906,4/6/2018 7:37 PM,5700 S Stony Island,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1907,4/7/2018 12:53 AM,5337 S Ellis,African American,Female,Lane Violation,Improper lane usage,,Verbal Warning,No
1908,4/7/2018 1:14 AM,1250 E 47th,African American,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
1909,4/7/2018 9:47 AM,5800 S Cottage Grove,Hispanic,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1910,4/7/2018 10:58 AM,1127 E 56th,African American,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
1911,4/7/2018 4:14 PM,5500 S Kimbark,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1912,4/7/2018 7:45 PM,1509 E 53rd,African American,Male,Lane Violation,Illegal U-Turn,,Verbal Warning,No
1913,4/7/2018 11:27 PM,1321 E 56th,Hispanic,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1914,4/8/2018 8:39 AM,6100 S University,African American,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1915,4/8/2018 2:02 PM,6300 S Woodlawn,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1916,4/8/2018 2:46 PM,6100 S Woodlawn,African American,Male,Speed,Speeding,,Verbal Warning,No
1917,4/8/2018 10:16 PM,5500 S Greenwood,African American,Female,Traffic Sign/Signal,Ran stop sign,Two citations issued,Citation issued,No
1918,4/8/2018 8:23 PM,6300 S Drexel,African American,Female,Equipment,Driving without headlights,Two citations issued,Citation issued,No
1919,4/9/2018 12:13 AM,5634 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1920,4/9/2018 4:10 PM,1400 E Midway Plaisance,African American,Female,Lane Violation,Driving in wrong lane,,Verbal Warning,No
1921,4/9/2018 5:11 PM,5300 S Cornell,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1922,4/9/2018 5:52 PM,5400 Hyde Park,African American,Male,Traffic sign/signal,Ran red light,,Verbal Warning,No
1923,4/9/2018 8:06 PM,5800 Woodlawn,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1924,4/9/2018 8:38 PM,5500 Maryland,Caucasian,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1925,4/9/2018 8:39 PM,5300 Greenwood,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1926,4/9/2018 8:46 PM,5200 Cornell,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1927,4/9/2018 8:51 PM,5500 Lake Park,African American,Female,Equipment,Driving without headlights,,Verbal Warning,No
1928,4/9/2018 9:13 PM,5500 Kenwood,American Indian/Alaskan Native,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1929,4/9/2018 9:15 PM,5200 University,African American,Male,Equipment,Driving without headlights,,Verbal Warning,No
1930,4/9/2018 11:31 PM,6300 Drexel,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1931,4/10/2018 8:50 AM,838 E 52nd,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1932,4/10/2018 9:51 AM,1111 E Midway Plaisance,African American,Female,Speed,Speeding,Three citations issued,Citation issued,No
1933,4/10/2018 12:29 PM,5300 S University,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1934,4/10/2018 7:46 PM,5300 Ingleside,African American,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1935,4/10/2018 10:36 PM,5800 Blackstone,Caucasian,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1936,4/11/2018 1:08 AM,5300 Drexel,African American,Female,Equipment,Driving without headlights,,Verbal Warning,No
1937,4/11/2018 9:09 AM,5300 S Woodlawn,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1938,4/11/2018 10:56 AM,5500 S Woodlawn,Caucasian,Female,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1939,4/11/2018 12:44 PM,4700 S Drexel,African American,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
1940,4/11/2018 12:48 PM,5500 S Blackstone,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1941,4/11/2018 4:04 PM,5900 S Midway Plaisance,Caucasian,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
1942,4/11/2018 4:23 PM,5300 S Greenwood,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1943,4/11/2018 5:31 PM,5300 S University,African American,Female,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1944,4/12/2018 12:24 PM,5600 S Maryland,Caucasian,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
1945,4/12/2018 2:17 PM,4800 S Dorchester,African American,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1946,4/13/2018 7:40 AM,5400 S University,African American,Female,Equipment,No brake lights,,Verbal Warning,No
1947,4/13/2018 1:01 PM,5446 S Cornell,African American,Male,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No
1948,4/13/2018 8:27 PM,5300 Hyde Park,African American,Male,Equipment,Driving without headlights,,Verbal Warning,No
1949,4/13/2018 9:05 PM,5200 Ingleside,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1950,4/13/2018 9:22 PM,5200 Lake Park,Caucasian,Female,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
1951,4/13/2018 9:24 PM,5400 Woodlawn,African American,Male,Equipment,Driving without headlights,,Verbal Warning,No
1952,4/13/2018 9:41 PM,5300 University,African American,Female,Equipment,Driving without headlights,,Verbal Warning,No
1953,4/13/2018 10:24 PM,5600 Ellis,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1954,4/14/2018 9:48 AM,6100 S Cottage Grove,African American,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1955,4/14/2018 9:51 AM,5450 S Hyde Park,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1956,4/14/2018 10:41 AM,6300 S Ellis,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1957,4/14/2018 1:00 PM,5700 S University,Asian,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
1958,4/14/2018 1:44 PM,5900 S Woodlawn,Caucasian,Female,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
1959,4/14/2018 8:01 PM,5200 University,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1960,4/14/2018 8:14 PM,5700 Harper,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1961,4/14/2018 8:47 PM,5801 Ellis,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
1962,4/14/2018 8:57 PM,5600 University,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1963,4/14/2018 9:20 PM,5300 Greenwood,Hispanic,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1964,4/14/2018 10:37 PM,5300 Ellis,African American,Female,Traffic sign/signal,Ran stop sign,Two citations issued,Citation issued,No
1965,4/14/2018 11:34 PM,5200 University,Hispanic,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1966,4/15/2018 12:49 AM,5700 Stony Island,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,Yes
1967,4/15/2018 4:36 AM,6000 Woodlawn,Caucasian,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
1968,4/15/2018 12:39 PM,1644 E 53rd,Caucasian,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
1969,4/15/2018 5:55 PM,5300 Hyde Park,African American,Female,Lane Violation,Improper turn,,Verbal Warning,No
1970,4/15/2018 7:45 PM,5300 Ellis,African American,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1971,4/15/2018 8:05 PM,5200 University,African American,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1972,4/15/2018 8:37 PM,5700 Lake Park,Asian,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1973,4/15/2018 8:59 PM,5600 Hyde Park,African American,Male,Equipment,Driving without headlights,,Verbal Warning,No
1974,4/16/2018 7:56 AM,5500 S University,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citation issued,No
1975,4/16/2018 9:53 AM,6220 S Stony Island,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1976,4/16/2018 10:02 AM,5236 S Kenwood,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1977,4/16/2018 11:00 AM,6100 S Drexel,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1978,4/16/2018 5:29 PM,5509 Kimbark,African American,Male,Traffic Sign/Signal,Improper lane usage,,Verbal Warning,No
1979,4/17/2018 12:22 PM,6000 S Cottage Grove,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1980,4/17/2018 1:00 PM,1214 E 53rd,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1981,4/18/2018 10:32 AM,1355 E. 55th Street,African American,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
1982,4/18/2018 6:01 PM,1231 E. 53rd Street,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
1983,4/18/2018 7:54 PM,5400 S. Greenwood,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
1984,4/18/2018 8:57 PM,5300 S. Greenwood,African American,Male,Equipment,No headlights when required,,Verbal Warning,No
1985,4/18/2018 10:02 PM,5300 S. Berkeley,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
1986,4/18/2018 10:37 PM,5500 S. Kenwood,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
1987,4/18/2018 11:20 PM,5600 S. Hyde Park Blvd,Caucasian,Male,Equipment,No headlights when required,,Verbal Warning,No
1988,4/19/2018 9:47 AM,1031 E 51st,Caucasian,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1989,4/19/2018 12:00 AM,5300 S Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,Yes
1990,4/19/2018 9:12 PM,5300 S Greenwood,Caucasian,Female,Equipment,No headlights when required,,Verbal Warning,No
1991,4/19/2018 9:52 PM,5300 S Ellis,African American,Male,Equipment,No headlights when required,,Verbal Warning,No
1992,4/19/2018 10:06 PM,5150 S Hyde Park Blvd,Caucasian,Male,Equipment,No headlights when required,,Verbal Warning,No
1993,4/20/2018 12:47 PM,5900 S Maryland,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1994,4/20/2018 3:23 PM,1313 E 62nd,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1995,4/20/2018 4:31 PM,6400 S Cottage Grove,African American,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
1996,4/21/2018 10:59 AM,5700 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1997,4/21/2018 11:48 AM,5000 S Lake Park,African American,Male,Lane Violation,Improper turn,,Verbal Warning,No
1998,4/21/2018 5:50 PM,5600 S Harper,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1999,4/22/2018 1:28 AM,5230 Lake Park,Hispanic,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2000,4/22/2018 9:54 AM,5500 S University,Asian,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2001,4/22/2018 1:06 PM,1100 E 57th,American Indian/Alaskan Native,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2002,4/22/2018 1:47 PM,5900 S Maryland,African American,Female,Lane Violation,Improper lane usage,,Verbal Warning,No
2003,4/22/2018 2:01 PM,5700 Lake Park,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued,Citation issued,No
2004,4/22/2018 2:22 PM,6229 S Cottage Grove,African American,Male,Lane Violation,Improper turn,,Verbal Warning,No
2005,4/22/2018 5:20 PM,4900 Lake Park,African American,Female,Lane Violation,Improper turn,,Verbal Warning,No
2006,4/22/2018 5:45 AM,5700 S Kimbark,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2007,4/23/2018 2:19 PM,5048 S Cornell,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2008,4/23/2018 5:36 PM,5300 S Dorchester,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2009,4/23/2018 8:11 PM,5344 S Hyde Park,African American,Male,Equipment,Driving without headlights when required,,Verbal Warning,No
2010,4/23/2018 8:35 PM,6100 S Cottage Grove,Hispanic,Male,Equipment,Driving without headlights when required,,Verbal Warning,No
2011,4/23/2018 9:46 PM,5200 S Ellis,Asian,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2012,4/24/2018 8:46 AM,5500 S Kimbark,African American,Female,Lane Violation,Improper lane usage,,Verbal Warning,No
2013,4/24/2018 12:17 PM,5500 S Lake Park,Caucasian,Male,License plate/registration,Suspicious auto illegally parked displaying unlawful registration near hot spot area,One citation issued,Citation issued,Yes
2014,4/24/2018 2:10 PM,6256 S University,African American,Male,Speed,Driver speeding and screeching tires in high pedestrian area,One citation issued,Citation issued,Yes
2015,4/24/2018 3:00 PM,5300 S Lake Park,African American,Male,Moving Violation - Other,Distracted driver utilizing cell phone while operating vehicle in high pedestrian area,,Verbal Warning,No
2016,4/24/2018 3:01 PM,1210 E 55th,African American,Female,Lane Violation,Improper lane usage,,Verbal Warning,No
2017,4/24/2018 7:36 PM,5300 S Greenwood,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2018,4/24/2018 8:12 PM,5300 S Greenwood,African American,Female,Equipment,Driving without headlights when required,,Verbal Warning,No
2019,4/24/2018 9:23 PM,5300 S Greenwood,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2020,4/24/2018 9:45 PM,5530 S Ellis,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2021,4/24/2018 10:44 PM,5500 Lake Park,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2022,4/25/2018 12:15 AM,5500 S Ellis,African American,Male,Lane Violation,Improper overtaking,Two citations issued,Citation issued,No
2023,4/25/2018 10:22 AM,5700 S Cottage Grove,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2024,4/25/2018 2:38 PM,1142 E 62nd,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
2025,4/26/2018 12:17 PM,5840 S. Harper,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
2026,4/27/2018 1:07 PM,1404 E 55th,African American,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
2027,4/27/2018 1:24 PM,5600 S Hyde Park,African American,Male,License plate/registration,No registration,,Verbal Warning,No
2028,4/27/2018 5:38 PM,5600 S Hyde Park,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2029,4/27/2018 6:06 PM,6300 S Ellis,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2030,4/27/2018 8:03 PM,5000 S Cornell,Asian,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2031,4/28/2018 11:50 AM,5400 S Lake Park,African American,Male,Moving Violation - Other,Using cell phone while driving,,Verbal Warning,No
2032,4/28/2018 4:13 PM,Midway Plaisance and Dorchester,Asian,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2033,4/28/2018 10:07 PM,5100 S Lake Park,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2034,4/28/2018 10:57 PM,5400 S Greenwood,Caucasian,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2035,4/29/2018 12:15 AM,5600 S Lake Park,African American,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
2036,4/29/2018 12:09 PM,5700 S Cornell,Caucasian,Female,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
2037,4/29/2018 6:43 PM,5100 S Cornell,African American,Male,Lane Violation,Improper turn,,Verbal Warning,No
2038,4/29/2018 9:05 PM,6000 S Langley,African American,Male,Moving Violation - Other,Using cell phone while driving,,Verbal Warning,No
2039,4/30/2018 1:43 PM,5500 S Greenwood,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2040,4/30/2018 5:15 PM,6100 S University,African American,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
2041,4/30/2018 5:36 PM,4700 S Ellis,African American,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
2042,4/30/2018 10:25 PM,4900 S Greenwood,African American,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
2043,5/1/2018 2:07 AM,5300 S Kimbark,Hispanic,Male,Moving Violation - Other,Improper backing,,Verbal Warning,No
2044,5/1/2018 9:30 AM,5500 S Kimbark,African American,Female,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2045,5/1/2018 9:36 AM,5300 S Cornell,Hispanic,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
2046,5/1/2018 1:40 PM,4700 S Drexel,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2047,5/1/2018 2:10 PM,1000 E Midway Plaisance,African American,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2048,5/1/2018 4:04 PM,5500 S Woodlawn,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2049,5/2/2018 2:27 PM,5200 S Ellis,African American,Male,Traffic sign/signal,Ran stop sign,Two citations issued,Citation issued,No
2050,5/2/2018 9:50 PM,5700 Blackstone,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2051,5/3/2018 10:41 AM,1464 E. 55th Street,Caucasian,Male,Lane Violation,Improper right turn,One citation issued,Citations issued,No
2052,5/4/2018 12:44 PM,4700 S Cornell,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2053,5/4/2018 3:14 PM,5700 S Ellis,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2054,5/4/2018 10:08 PM,5500 S Shore Drive,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued,Citation issued,No
2055,5/4/2018 11:25 PM,5500 S University,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2056,5/5/2018 11:20 AM,5500 S Woodlawn,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2057,5/5/2018 11:47 AM,5500 S Ellis,Caucasian,Male,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2058,5/5/2018 12:43 PM,5900 S Blackstone,Asian,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
2059,5/6/2018 8:40 AM,5800 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2060,5/6/2018 1:07 PM,6148 S Evans,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2061,5/7/2018 1:19 PM,6000 Woodlawn,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2062,5/7/2018 4:02 PM,5100 S Dorchester,African American,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2063,5/7/2018 4:50 PM,5400 S Lake Park,Caucasian,Female,Traffic Sign/Signal,Ran red light,One citation issued,Citation issued,No
2064,5/7/2018 6:47 PM,1630 E 54th,Asian,Male,Lane Violation,No turn signal when required,,Verbal Warning,No
2065,5/8/2018 8:50 AM,5300 S Greenwood,African American,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2066,5/8/2018 9:05 PM,5500 Kenwood,African American,Male,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2067,5/8/2018 9:39 PM,5700 Blackstone,African American,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2068,5/9/2018 8:52 PM,5300 S Lake Park,African American,Female,Equipment,No headlights when required,,Verbal Warning,No
2069,5/9/2018 11:32 PM,5200 S Woodlawn,Caucasian,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2070,5/10/2018 10:53 AM,5900 S University,Asian,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2071,5/10/2018 10:57 AM,5300 S Woodlawn,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2072,5/10/2018 5:19 PM,5121 S Kimbark,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2073,5/11/2018 8:35 AM,5000 S Woodlawn,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2074,5/11/2018 9:09 PM,5500 Blackstone,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2075,5/11/2018 11:06 PM,5000 Kenwood,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2076,5/11/2018 11:29 PM,5500 Kenwood,African American,Female,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2077,5/12/2018 12:12 PM,5900 S Dorchester,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2078,5/12/2018 2:08 PM,5500 S Kimbark,Hispanic,Male,License plate/registration,Improper display of license plate,,Verbal Warning,No
2079,5/12/2018 4:25 PM,1326 E 53rd,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2080,5/12/2018 5:07 PM,5736 S Woodlawn,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2081,5/12/2018 5:33 PM,5300 Kimbark,African American,Male,Traffic sign/signal,Ran red light,,Verbal Warning,No
2082,5/12/2018 8:14 PM,5900 Woodlawn,Caucasian,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2083,5/12/2018 8:18 PM,6200 Woodlawn,African American,Male,Traffic sign/signal,Ran red light,,Verbal Warning,No
2084,5/12/2018 8:40 PM,5700 Kenwood,African American,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2085,5/12/2018 9:00 PM,5000 Woodlawn,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2086,5/12/2018 9:12 PM,5300 Greenwood,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2087,5/12/2018 9:30 PM,5700 Stony Island,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2088,5/12/2018 10:47 PM,5300 Woodlawn,African American,Male,Equipment,No headlights when required,,Verbal Warning,No
